地区,现有确诊,累计确诊,治愈,死亡,疫情
香港,1173,8300,6995,132,
台湾,131,770,632,7,
上海,108,1473,1358,7,详情
广东,41,2035,1986,8,详情
四川,36,843,804,3,详情
福建,22,507,484,1,详情
内蒙古,20,352,331,1,详情
陕西,16,504,485,3,详情
云南,14,227,211,2,详情
山东,13,861,841,7,详情
黑龙江,12,961,936,13,详情
北京,11,961,941,9,详情
浙江,9,1300,1290,1,详情
辽宁,6,295,287,2,详情
河南,5,1297,1270,22,详情
江苏,5,684,679,0,详情
天津,4,304,297,3,详情
山西,3,224,221,0,详情
广西,1,264,261,2,详情
澳门,0,46,46,0,
重庆,0,590,584,6,详情
湖南,0,1020,1016,4,详情
吉林,0,157,155,2,详情
西藏,0,1,1,0,详情
宁夏,0,75,75,0,详情
贵州,0,147,145,2,详情
新疆,0,980,977,3,详情
江西,0,935,934,1,详情
青海,0,18,18,0,详情
湖北,0,68149,63637,4512,详情
海南,0,171,165,6,详情
甘肃,0,182,180,2,详情
安徽,0,992,986,6,详情
河北,0,373,367,6,详情
